City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Hermanus,ZA,-34.42,19.23,58.69,95,4.41,75
Kaitangata,NZ,-46.28,169.85,53.08,75,7.78,89
Fianarantsoa,MG,-21.43,47.08,59.9,70,5.26,99
Barrow,US,71.29,-156.79,-5.8,83,12.75,1
Española,US,35.99,-106.08,66.96,16,11.41,1
Mataura,NZ,-46.19,168.86,51.01,88,1.99,91
Klaksvík,FO,62.23,-6.59,42.8,81,6.93,100
Souillac,MU,-20.52,57.52,76.53,83,5.82,40
Albany,US,42.6,-73.97,42.91,52,24.16,75
Fortuna,US,40.6,-124.16,58.35,67,13.87,20
Huarmey,PE,-10.07,-78.15,79.72,63,10.29,5
Avarua,CK,-21.21,-159.78,87.8,84,16.11,75
Brezniţa-Motru,RO,44.57,23.22,53.19,48,5.82,0
East London,ZA,-33.02,27.91,68.86,80,14.38,64
Saint-Philippe,RE,-21.36,55.77,69.24,69,5.82,40
Tuktoyaktuk,CA,69.45,-133.04,6.8,84,20.8,90
Bredasdorp,ZA,-34.53,20.04,53.73,66,1.12,92
Huilong,CN,31.81,121.66,55.0,91,1.99,90
Chui,UY,-33.7,-53.46,63.86,69,11.41,36
São João da Barra,BR,-21.64,-41.05,75.2,69,6.93,100
Hithadhoo,MV,-0.6,73.08,84.25,66,7.31,26
Yeppoon,AU,-23.13,150.73,69.8,77,6.93,26
Ushuaia,AR,-54.8,-68.3,66.2,39,6.17,23
Lebu,CL,-37.62,-73.65,58.91,70,6.71,40
Port Hardy,CA,50.7,-127.42,50.0,71,6.93,40
Airai,TL,-8.93,125.41,59.34,70,0.92,0
Saldanha,ZA,-33.01,17.94,60.8,87,1.12,68
Rikitea,PF,-23.12,-134.97,76.26,66,4.99,100
La Ceiba,HN,15.76,-86.78,89.47,49,6.24,42
Honningsvåg,NO,70.98,25.97,28.63,88,19.04,100
Aklavik,CA,68.22,-135.01,19.0,52,6.93,20
Lavrentiya,RU,65.58,-171.0,9.36,94,5.99,98
Sambava,MG,-14.27,50.17,75.34,87,8.97,9
Sítio Novo do Tocantins,BR,-5.52,-47.46,79.5,86,0.63,100
Yellowknife,CA,62.46,-114.35,22.57,85,10.29,90
Tual,ID,-5.67,132.75,83.86,75,12.12,98
Punta Arenas,CL,-53.15,-70.92,65.21,48,6.93,40
Dikson,RU,73.51,80.55,13.5,96,20.38,100
Cape Town,ZA,-33.93,18.42,59.61,72,3.36,73
Laguna,US,38.42,-121.42,58.89,63,6.93,90
Nikolskoye,RU,59.7,30.79,33.62,74,6.71,11
Qaanaaq,GL,77.48,-69.36,12.24,85,3.33,100
Camaná,PE,-16.62,-72.71,74.95,72,6.76,87
Chipinge,ZW,-20.19,32.62,59.23,71,6.53,75
São Filipe,CV,14.9,-24.5,76.3,66,8.7,0
Saint-François,FR,46.42,3.91,50.97,58,2.19,2
Ust-Tsilma,RU,65.44,52.15,29.8,96,7.85,58
Cherskiy,RU,68.75,161.3,-5.94,91,7.94,99
Avera,US,33.19,-82.53,83.62,35,13.87,1
New Norfolk,AU,-42.78,147.06,55.29,67,11.41,75
Arraial do Cabo,BR,-22.97,-42.03,73.4,78,14.99,40
Horta,PT,38.53,-28.63,62.6,88,3.36,20
Chokurdakh,RU,70.63,147.92,7.59,95,9.53,89
Vaini,TO,-21.2,-175.2,78.8,65,12.75,20
Sur,OM,22.57,59.53,82.98,54,6.8,0
Hasaki,JP,35.73,140.83,44.01,93,5.82,75
Hobart,AU,-42.88,147.33,55.6,67,11.41,75
Khatanga,RU,71.97,102.5,22.77,90,19.71,64
Bluff,NZ,-46.6,168.33,51.01,88,1.99,82
Castro,BR,-24.79,-50.01,61.63,50,0.98,0
Hilo,US,19.73,-155.09,74.34,58,9.17,75
Severo-Kuril'sk,RU,50.68,156.12,29.66,93,0.18,93
Missoula,US,47.02,-113.8,64.42,22,6.93,1
Atuona,PF,-9.8,-139.03,82.71,77,12.8,53
Belmonte,BR,-15.86,-38.88,75.2,94,5.82,90
Angoram,PG,-4.06,144.07,74.52,97,1.43,45
Sola,VU,-13.88,167.55,80.26,81,18.43,66
Provideniya,RU,64.38,-173.3,14.0,66,11.18,86
Giruá,BR,-28.03,-54.35,72.36,43,11.41,0
Pitimbu,BR,-7.47,-34.81,82.4,83,6.93,44
Pevek,RU,69.7,170.31,-1.71,91,4.99,100
Boussé,BF,12.66,-1.89,96.8,25,9.37,75
Saskylakh,RU,71.92,114.08,23.04,91,18.14,64
George Town,MY,5.41,100.34,79.88,88,1.28,20
Bathsheba,BB,13.22,-59.52,82.4,69,11.41,40
Thompson,CA,55.74,-97.86,24.8,41,3.36,5
Kapaa,US,22.08,-159.32,75.56,73,5.82,90
San Patricio,MX,19.22,-104.7,80.6,78,11.41,5
Ixtapa,MX,20.7,-105.2,82.4,65,16.11,5
Burnie,AU,-41.07,145.92,56.46,94,1.01,91
Henties Bay,NA,-22.12,14.28,61.0,91,1.99,23
Erzin,TR,36.96,36.2,54.84,82,12.75,40
Kohlu,PK,29.9,69.25,67.59,26,3.13,4
Clarence Town,AU,-32.58,151.78,64.06,93,2.24,75
Orotukan,RU,62.27,151.7,6.28,84,2.64,0
Hamilton,US,39.18,-84.53,50.86,34,13.87,90
Tighina,MD,46.83,29.47,53.6,37,8.05,0
Busselton,AU,-33.65,115.33,66.63,68,11.63,70
Frederico Westphalen,BR,-27.36,-53.39,64.69,73,1.01,0
Bilky,UA,48.31,23.13,53.38,52,6.93,0
Hastings,GB,50.86,0.57,53.11,81,18.34,1
Chelbasskaya,RU,45.98,39.37,47.75,55,3.83,0
Tuatapere,NZ,-46.13,167.68,51.01,88,1.99,78
Nisibis,TR,37.08,41.22,55.4,76,18.34,40
Grand Forks,US,47.93,-97.03,35.2,59,17.22,75
Sitka,US,57.05,-135.33,42.51,52,9.17,40
Talnakh,RU,69.49,88.4,17.6,92,33.55,90
Bengkulu,ID,-3.8,102.27,77.67,81,4.88,93
Teya,RU,60.38,92.63,24.8,93,6.55,36
Kiryat Gat,IL,31.61,34.76,54.54,77,6.93,20
Bethel,US,41.37,-73.41,50.58,50,17.22,40
Tvøroyri,FO,61.56,-6.81,42.8,81,6.93,99
Muros,ES,42.78,-9.06,58.51,100,5.82,75
Flin Flon,CA,54.77,-101.86,30.2,36,10.29,20
Narrabri,AU,-30.32,149.78,68.0,64,12.75,90
Portland,US,45.52,-122.68,72.81,30,8.05,20
Bilma,NE,18.69,12.92,81.79,13,13.33,97
Marawi,PH,8.0,124.29,67.23,70,3.44,2
Goma,CD,-1.68,29.22,64.2,50,2.08,59
Tasiilaq,GL,65.61,-37.64,28.4,46,9.17,99
Caravelas,BR,-17.71,-39.25,75.31,91,15.86,100
Norman Wells,CA,65.28,-126.83,26.6,42,19.46,75
Ko Samui,TH,9.54,99.94,83.44,77,10.98,60
La Ronge,CA,55.1,-105.28,32.0,83,10.29,75
Mahébourg,MU,-20.41,57.7,76.6,83,5.82,40
Utmanzai,PK,34.19,71.76,60.8,87,6.93,40
Oranjemund,NA,-28.55,16.43,59.97,77,5.55,79
