,City,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,Havre-St-Pierre,50.23,-63.6,35.6,59,6.93,1
1,Tiksi,71.69,128.87,-18.0,83,6.82,0
2,Bredasdorp,-34.53,20.04,59.0,62,12.75,96
3,Hasaki,35.73,140.83,53.44,62,7.85,98
4,Tasiilaq,65.61,-37.64,15.44,96,4.63,98
5,Busselton,-33.65,115.33,68.43,78,4.74,24
6,Linguère,15.4,-15.12,80.64,16,8.9,0
7,Saint Paul Harbor,57.79,-152.41,50.0,61,6.93,1
8,Cape Town,-33.93,18.42,60.8,63,16.11,20
9,Camacha,33.08,-16.33,60.8,72,6.93,75
10,Hilo,19.73,-155.09,69.31,78,8.05,90
11,Qaqortoq,60.72,-46.03,25.16,91,16.2,88
12,Tiznit Province,29.58,-9.5,54.63,68,4.97,81
13,Cururupu,-1.83,-44.87,79.05,86,4.47,92
14,Barinas,8.62,-70.21,97.14,29,4.99,57
15,Avarua,-21.21,-159.78,80.6,94,9.17,90
16,Arrondissement d'Issoudun,47.0,1.83,39.2,51,10.29,0
17,Tucuruí,-3.77,-49.67,81.68,81,1.83,89
18,Lakes Entrance,-37.88,147.98,52.5,81,5.5,7
19,Bengkulu,-3.8,102.27,78.06,83,4.94,82
20,Lebu,-37.62,-73.65,65.01,64,12.88,1
21,Korla,41.76,86.15,39.72,39,13.11,79
22,New Norfolk,-42.78,147.06,42.8,69,1.01,2
23,Hualmay,-11.1,-77.61,78.08,65,8.97,20
24,Ushuaia,-54.8,-68.3,53.6,66,18.34,75
25,San Andrés,12.58,-81.7,86.0,62,9.17,20
26,Port Alfred,-33.59,26.89,67.39,72,17.65,89
27,Teplodar,46.51,30.33,40.03,67,12.06,0
28,Thompson,55.74,-97.86,23.0,38,12.75,20
29,Rikitea,-23.12,-134.97,78.71,78,11.23,100
30,Hermanus,-34.42,19.23,59.52,63,16.75,60
31,Saldanha,-33.01,17.94,62.46,73,25.72,99
32,Mar del Plata,-38.0,-57.56,65.03,82,14.99,75
33,Albany,42.6,-73.97,45.81,58,3.69,100
34,Barrow,71.29,-156.79,-5.8,83,12.75,1
35,Ponta do Sol,32.67,-17.1,57.0,70,5.61,100
36,Anadyr,64.75,177.48,17.28,92,4.47,40
37,Kaitangata,-46.28,169.85,52.9,71,5.1,57
38,Mayskiy,47.69,40.1,38.37,72,13.0,0
39,Kapaa,22.08,-159.32,74.52,73,23.04,75
40,Mataura,-46.19,168.86,50.54,73,3.91,78
41,Sola,-13.88,167.55,82.4,94,8.68,75
42,Taywarah,33.35,64.42,31.91,36,2.39,73
43,Mulegé,26.88,-111.98,78.04,29,2.86,80
44,Torbay,47.67,-52.73,28.98,86,27.51,90
45,Nanortalik,60.14,-45.24,28.02,92,17.13,49
46,Saint George,37.1,-113.58,65.3,21,4.7,1
47,Butaritari,3.07,172.79,83.17,80,23.87,100
48,Vaini,-21.2,-175.2,82.4,74,9.17,20
49,Ixtapa,20.7,-105.2,78.91,69,10.29,5
50,Lerwick,60.15,-1.15,44.1,85,10.83,100
51,Pangai,-19.8,-174.35,84.2,66,9.17,20
52,Arraial do Cabo,-22.97,-42.03,74.66,78,6.93,20
53,Sørland,67.67,12.69,38.19,74,23.82,94
54,Abu Samrah,35.3,37.18,54.77,69,5.57,2
55,Hofn,64.25,-15.21,37.94,77,20.89,74
56,Ust-Kuyga,70.02,135.6,-12.17,87,2.98,88
57,Deputatsky,69.3,139.9,-12.41,84,1.68,99
58,Saint-Philippe,-21.36,55.77,79.27,76,14.92,100
59,Roebourne,-20.78,117.13,90.52,34,9.6,58
60,Yellowknife,62.46,-114.35,21.09,67,12.75,75
61,Bethel,41.37,-73.41,40.59,91,1.01,99
62,San Vicente,-26.62,-54.13,79.5,35,3.2,98
63,Hithadhoo,-0.6,73.08,83.21,69,11.52,0
64,Vallenar,-28.57,-70.76,76.82,31,9.13,0
65,Atuona,-9.8,-139.03,82.47,69,12.19,1
66,Bajil,15.06,43.29,81.39,64,3.31,57
67,Flinders,-34.58,150.86,63.0,72,5.99,97
68,Puerto Ayora,-0.74,-90.35,80.01,82,11.01,59
69,Valparaíso,-33.04,-71.63,70.66,47,8.05,7
70,Lorengau,-2.02,147.27,80.6,80,8.37,100
71,San Pablo City,14.07,121.33,70.81,89,3.53,17
72,Manacapuru,-3.3,-60.62,86.05,71,3.09,29
73,Thunder Bay,48.4,-89.32,41.0,65,9.17,75
74,Tuatapere,-46.13,167.68,53.19,72,4.99,29
75,Dikson,73.51,80.55,18.93,96,24.25,100
76,Port Elizabeth,-33.92,25.57,69.8,73,34.45,20
77,Conceição do Araguaia,-8.26,-49.26,84.2,79,3.36,54
78,Talnakh,69.49,88.4,11.03,93,16.93,100
79,Airai,-8.93,125.41,61.52,68,1.9,59
80,Lompoc,34.64,-120.46,56.52,58,14.99,90
81,Alpena,45.06,-83.43,47.52,61,6.93,90
82,Muros,42.78,-9.06,51.01,87,8.99,10
83,Russell,32.35,-85.2,84.2,42,11.41,40
84,Montepuez,-13.13,39.0,68.56,85,2.82,100
85,Blagoyevo,63.37,47.92,34.68,92,13.11,100
86,Jamestown,42.1,-79.24,48.2,66,8.05,90
87,Hīt,33.64,42.83,65.8,44,3.98,0
88,Carupano,10.67,-63.26,83.39,60,12.17,64
89,Cap Malheureux,-19.98,57.61,78.01,84,3.0,20
90,Kokopo,-4.35,152.26,78.8,82,7.05,100
